"ticker","sector","industry","market_cap_millions","pe","pb","dividend_yield_pct","data_date"
"F","Consumer Cyclical","Auto Manufacturers",39871.055671,7.946,0.893,7.5,2025-03-31
"HST","Real Estate","REIT - Hotel & Motel",9855.813265,14.558,1.482,6.3,2025-03-31
"VZ","Communication Services","Telecom Services",190952.171535,10.738,1.896,5.9,2025-03-31
"CVS","Healthcare","Healthcare Plans",56489.919184,12.243,0.748,5.9,2024-12-31
"T","Communication Services","Telecom Services",137021.855137,10.944,1.301,5.8,2024-06-30
"AES","Utilities","Utilities - Diversified",8841.804794,6.838,2.55,5.6,2025-03-31
"BEN","Financial Services","Asset Management",11758.1406,13.915,0.914,5.5,2024-06-30
"TROW","Financial Services","Asset Management",20453.430045,10.142,1.968,5.4,2025-03-31
"LYB","Basic Materials","Specialty Chemicals",31176.055623,14.514,2.273,5.4,2024-09-30
"KHC","Consumer Defensive","Packaged Foods",36136.496179,13.611,0.731,5.3,2025-03-29
"ACGL","Financial Services","Insurance - Diversified",36101.858958,9.689,1.676,5.2,2025-03-31
"VICI","Real Estate","REIT - Diversified",34457.782779,13.09,1.295,5.2,2025-03-31
"TFC","Financial Services","Banks - Regional",53715.181552,11.845,0.831,5.1,2025-03-31
"APA","Energy","Oil & Gas E&P",7652.631922,7.51,1.408,4.8,2025-03-31
"USB","Financial Services","Banks - Regional",65858.448266,10.449,1.096,4.7,2025-03-31
"RF","Financial Services","Banks - Regional",19675.755993,10.378,1.062,4.6,2025-03-31
"PNW","Utilities","Utilities - Regulated Electric",8673.627636,14.016,1.396,4.6,2024-06-30
"CVX","Energy","Oil & Gas Integrated",260290.707513,14.738,1.709,4.5,2024-12-31
"IPG","Communication Services","Advertising Agencies",10979.24979,10.641,2.862,4.4,2024-06-30
"PRU","Financial Services","Insurance - Life",43232.7,10.542,1.421,4.3,2024-09-30
"EXC","Utilities","Utilities - Regulated Electric",34610.869542,14.284,1.323,4.3,2024-06-30
"PCAR","Industrials","Farm & Heavy Construction Machinery",51100.029454,14.719,2.835,4.3,2025-03-31
